average_slowdown,mean_completion_time,p95_completion_time,utilization,task_failure_rate,tasks_arrived,tasks_failed,scenario,severity,severity_rank,method,seed,degradation_pct
6.873437499999999,21.614583333333332,60.0,0.4583333333333333,0.4166666666666667,96.0,40.0,co_tenant_matched_load_control,medium,2,heuristic_sjf_bestfit,3,62.93263097246797
8.022048611111112,24.916666666666668,62.0,0.4016927083333333,0.4895833333333333,96.0,47.0,co_tenant_matched_load_control,high,3,heuristic_sjf_bestfit,3,90.16008889254704
4.459722222222223,15.322916666666666,76.5,0.505859375,0.28125,96.0,27.0,clean,clean,0,deeprm_inspired_pg,3,0.0
4.8118272569444445,17.3203125,79.75,0.47127278645833337,0.3033854166666667,96.0,29.125,observation_noise,low,1,deeprm_inspired_pg,3,7.895223450638412
5.058203125,17.73046875,81.875,0.48087565104166663,0.3033854166666667,96.0,29.125,observation_noise,medium,2,deeprm_inspired_pg,3,13.419690127686065
5.99474826388889,20.346354166666664,84.28125,0.42830403645833337,0.36588541666666663,96.0,35.125,observation_noise,high,3,deeprm_inspired_pg,3,34.41976798505139
4.053819444444444,13.84375,73.5,0.5852864583333334,0.23958333333333334,96.0,23.0,reward_corruption,low,1,deeprm_inspired_pg,3,-9.101526004360045
3.0107638888888886,11.34375,65.5,0.5930989583333334,0.17708333333333334,96.0,17.0,reward_corruption,medium,2,deeprm_inspired_pg,3,-32.48987854251014
17.380381944444444,51.729166666666664,88.0,0.061197916666666664,0.9166666666666666,96.0,88.0,reward_corruption,high,3,deeprm_inspired_pg,3,289.7189349112425
3.6244055258192223,9.773972065984879,49.18124999999998,0.353759765625,0.1736537748224712,83.625,14.875,distribution_shift,low,1,deeprm_inspired_pg,3,-18.730240467460618
6.076259983091365,16.67018710122465,69.71249999999999,0.46337890625,0.268251726968252,107.375,29.375,distribution_shift,medium,2,deeprm_inspired_pg,3,36.24749884228533
9.413611097584178,26.75974630189929,83.06875,0.5213216145833334,0.4944836759376003,147.875,73.75,distribution_shift,high,3,deeprm_inspired_pg,3,111.08065992714442
5.027213541666667,19.395833333333332,84.6875,0.4102376302083333,0.33984375,96.0,32.625,co_tenant_interference,low,1,deeprm_inspired_pg,3,12.724813142323246
5.4515190972222225,20.326822916666664,85.625,0.4055989583333333,0.3567708333333333,96.0,34.25,co_tenant_interference,medium,2,deeprm_inspired_pg,3,22.238983182809076
6.917730034722222,23.565104166666668,87.1875,0.3826497395833333,0.41796875,96.0,40.125,co_tenant_interference,high,3,deeprm_inspired_pg,3,55.11571550918714
